bin	completeness	contamination	GC	lineage	N50	size	binner
bin.67	100.0	0.0	0.312	Euryarchaeota	49804	1676224	binsA
bin.150	100.0	0.021	0.631	Deltaproteobacteria	54408	2559408	binsA
bin.191	99.47	0.261	0.325	Lactobacillales	81024	1846091	binsA
bin.39	99.41	1.052	0.417	Lachnospiraceae	32359	2695944	binsB
bin.363	99.32	0.295	0.602	Deltaproteobacteria	30246	3688203	binsAB
bin.402	99.29	0.709	0.456	Clostridiales	329917	4287493	binsA
bin.256	99.19	0.161	0.574	Actinobacteria	35356	2247083	binsA
bin.415	99.07	2.247	0.304	Bacteria	34618	3264820	binsA
bin.213	99.05	1.342	0.504	Clostridiales	83232	2967336	binsA
bin.306	98.92	3.536	0.631	Bifidobacteriaceae	29193	2045155	binsA
bin.34	98.87	1.123	0.346	Bacteria	860780	1505880	binsA
bin.475	98.80	7.489	0.429	Selenomonadales	10756	3275337	binsB
bin.4	98.73	0.949	0.315	Firmicutes	27797	2154824	binsA
bin.446	98.65	0.0	0.404	Clostridiales	97488	2458294	binsA
bin.147	98.65	0.671	0.343	Clostridiales	16773	2078874	binsA
bin.197	98.55	0.0	0.555	Bacteroidetes	47103	2567131	binsA
bin.255	98.36	0.860	0.401	Lactobacillales	28758	1737489	binsA
bin.73	98.33	2.509	0.417	Bacteroidales	71640	5235470	binsB
bin.71	98.09	1.358	0.475	Lactobacillales	14350	1610927	binsA
bin.283	98.07	0.480	0.555	Bacteroidetes	39349	2465298	binsA
bin.113	98.07	0.576	0.588	Bacteroidetes	20617	2372013	binsA
bin.369	97.76	3.691	0.365	Clostridiales	26494	2377475	binsA
bin.50	97.60	0.0	0.500	Selenomonadales	77170	2354781	binsA
bin.422	97.51	1.242	0.627	Proteobacteria	34876	2245396	binsA
bin.440	97.46	1.604	0.483	Firmicutes	18259	2323816	binsB
bin.395	97.44	2.035	0.599	Clostridiales	66087	2882856	binsA
bin.108	97.34	1.209	0.420	Bacteria	26248	3081977	binsA
bin.448	97.31	0.0	0.422	Clostridiales	22249	2653174	binsB
bin.437	97.31	3.355	0.375	Clostridiales	79698	2038201	binsA
bin.419	97.15	1.183	0.640	Deltaproteobacteria	19141	2401045	binsA
bin.206	97.15	1.342	0.433	Clostridiales	40901	3102643	binsA
